date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2018-03-03,,2,,,,3,
2018-03-04,,,,,,,
2018-03-05,,,,,,,
2018-03-06,,,,,,,
2018-03-07,,,,,,,
2018-03-08,,,,,,,
2018-03-09,,,,,,,
2018-03-10,,,,,,,
2018-03-11,,,,,,,
2018-03-12,,,,,,,
2018-03-13,,,,,,,
2018-03-14,98876486.377,4285,0.0,0.075966,4774280.0,3241,2962.674
2018-03-15,4049895.58359,610,0.0,0.076377,2279000.0,750,1002.753633
2018-03-16,7750186.35778,384,0.0,0.08575,2194000.0,413,1347.4755
2018-03-17,1571790.09301,252,0.0,0.099252,933224.0,270,986.17432338
2018-03-18,493054.410356,210,0.0,0.086149,860845.0,226,181.103507426
2018-03-19,1290301.95561,204,0.0,0.090401,987199.0,202,890.731069431
2018-03-20,689112.844438,163,37167435.5173,0.098356,841064.0,179,1126.44751503
2018-03-21,1300105.2653,234,40085223.2083,0.104777,1890080.0,284,1011.5818581
2018-03-22,6746364.34681,179,47247834.6057,0.122181,1295320.0,196,895.698012455
2018-03-23,1726698.50222,297,50663383.4876,0.130057,3331850.0,377,1459.889825
2018-03-24,2121562.56,149,66362690.1829,0.169338,1333590.0,198,1693.38
2018-03-25,985646.265246,111,56110748.3386,0.142854,1324240.0,142,1428.54
2018-03-26,3380024.78859,82,50793604.391,0.128536,793403.0,97,1448.69394716
2018-03-27,163378.462299,64,49206573.3758,0.124339,470221.0,83,584.3933
2018-03-28,666279.845392,82,44593780.9488,0.111654,767344.0,92,719.3588085
2018-03-29,2664100.56829,80,48188624.1969,0.125626,468793.0,105,3403.39363835
2018-03-30,461001.753507,53,39024667.2055,0.10102,494279.0,75,1275.17546
2018-03-31,388274.7855,88,38446835.2511,0.099213,230909.0,101,14.89683195
2018-04-01,5823548.34192,109,43726330.7277,0.10363,1010460.0,115,2279.86
2018-04-02,1128362.13024,83,38923403.2567,0.091715,239694.0,80,561.277401971
2018-04-03,386605.101038,68,41105511.1467,0.096769,284358.0,91,507.9888655
2018-04-04,6281638.26897,49,51350531.7104,0.106121,255921.0,61,839.05417618
2018-04-05,167565.695648,48,44648552.8165,0.092218,214707.0,51,230.648002895
