date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2014-04-22,,12,,,,14,
2014-04-23,,9,,,,13,
2014-04-24,,35,,,,37,
2014-04-25,,1942,,,,1513,
2014-04-26,,19,,,,23,
2014-04-27,,14,,,,19,
2014-04-28,288323.672,32,6731717.11299,0.014875,21809.0,31,354.010125
2014-04-29,273122.10498,31,8464895.23943,0.018705,16810.0,35,445.179
2014-04-30,61823.2751,17,7713303.77335,0.017044,17926.0,21,1791.3244
2014-05-01,41183.674785,9,7193116.40633,0.015895,10439.0,11,3783.01
2014-05-02,35325.24611,6,6370669.40345,0.014077,8614.0,9,6576.098704
2014-05-03,341.572694,1,6495246.57292,0.014353,3089.0,2,341.572694
2014-05-04,1694.900178,3,6160401.62165,0.013613,13680.0,5,323.9894
2014-05-05,14861.204601,18,5753428.55301,0.012713,8647.0,15,237.86023
2014-05-06,8293.483233,8,6036641.99536,0.013339,730.0,11,796.6784445
2014-05-07,122865.560575,28,6025735.21563,0.013315,17418.0,24,543.478355
2014-05-08,42069.362256,11,6746466.74954,0.014908,9497.0,14,1106.09906
2014-05-09,3852.671946,9,6596618.30042,0.014577,13650.0,9,174.924
2014-05-10,23138.505256,13,6251737.237,0.013814,4405.0,11,699.47189
2014-05-11,1786.516372,10,6359961.02014,0.014054,6910.0,11,98.378
2014-05-12,9646.5845,8,5458522.28306,0.012062,5542.0,9,551.842531
2014-05-13,6928.9659,6,6007633.15603,0.013275,6080.0,9,1445.6475
2014-05-14,5144.83224,6,5741356.36135,0.012687,879.0,8,822.0731955
2014-05-15,5188.7868,3,5888067.79977,0.013011,2813.0,4,487.9125
2014-05-16,2919.520377,6,5791182.09767,0.012797,2095.0,9,84.613764
2014-05-17,30511.224906,11,5998172.37571,0.013254,12887.0,13,315.4452
2014-05-18,39203.302614,8,6398137.78766,0.014138,6888.0,10,302.5532
2014-05-19,0.0,0,5987528.70514,0.01323,15966.0,0,
2014-05-20,35204.858712,11,5209576.72883,0.011512,2066.0,12,1369.928
2014-05-21,12069.7365,6,5691056.33499,0.012575,6240.0,9,643.0917875
2014-05-22,18059.286721,12,4927756.689,0.010889,12989.0,12,700.042921
2014-05-23,21698.254208,10,5166171.54908,0.011416,15274.0,14,612.58256
2014-05-24,16639.989883,6,7014205.35588,0.015499,1220.0,7,1153.1256
2014-05-25,4188.107594,5,6644067.04883,0.014681,3954.0,7,143.58018
2014-05-26,7670.741596,5,6210613.53697,0.013724,2427.0,7,424.62056
2014-05-27,11681.76462,6,6527211.26016,0.014423,11397.0,7,497.0093685
2014-05-28,8077.297771,4,6126333.20272,0.013537,5516.0,6,648.5102905
2014-05-29,2009.684792,5,6363647.03345,0.014062,4178.0,7,60.11505
2014-05-30,11028.805414,9,5938985.07195,0.013123,8219.0,10,644.73299
2014-05-31,0.0,0,5779930.08588,0.012772,21368.0,0,
2014-06-01,33429.90131,6,7543996.85845,0.01667,11695.0,6,4045.984035
2014-06-02,14395.197712,6,6524084.21558,0.014416,9593.0,7,1568.56892
2014-06-03,5819.12032,4,6648039.79586,0.01469,12815.0,5,1313.80015
2014-06-04,15837.656892,6,6739317.39437,0.014892,11723.0,7,1054.286586
2014-06-05,18003.759345,7,6545099.99109,0.014463,8960.0,8,719.418546
2014-06-06,2628.98322,12,8037607.93557,0.017761,6240.0,12,177.61
2014-06-07,21072.978982,4,8260527.48181,0.018253,11485.0,5,2197.84373
2014-06-08,0.0,0,8458568.71738,0.018691,2477.0,0,
2014-06-09,19603.297968,7,8606414.3723,0.019018,8295.0,9,905.2568
2014-06-10,11001.873429,5,8570890.26159,0.018939,1822.0,7,3077.114025
2014-06-11,678.272088,3,8065842.02775,0.017823,4882.0,4,190.88433
2014-06-12,2608.525,2,7817843.0568,0.017275,4885.0,3,1304.2625
2014-06-13,1167.522997,6,7559071.30286,0.016703,3453.0,7,83.464891
2014-06-14,34030.200385,5,7784217.23518,0.017201,10202.0,7,3835.823
2014-06-15,5653.044684,6,7669599.39442,0.016947,4319.0,6,464.093595
2014-06-16,7404.720288,3,7175543.21034,0.015856,13530.0,4,951.36
2014-06-17,0.0,0,7606241.08892,0.016807,12490.0,0,
2014-06-18,5513.924196,5,7153592.11672,0.015807,7829.0,4,376.2066
2014-06-19,13801.528248,11,6711088.34166,0.014829,3623.0,14,1186.32
2014-06-20,3006.022307,7,6563132.33778,0.014503,21763.0,7,345.1714
2014-06-21,1415.11851,3,6318490.77821,0.013962,2199.0,4,586.222494
2014-06-22,7648.104807,7,6243865.71401,0.013797,1991.0,8,1019.653488
2014-06-23,93545.800432,11,6360992.256,0.014056,3104.0,10,752.249008
2014-06-24,3731.44644,4,6804269.15148,0.015035,2056.0,5,221.76625
2014-06-25,3238.616069,5,6445522.09192,0.014243,4395.0,6,154.82141
2014-06-26,3710.258937,5,6376727.48169,0.014091,5826.0,6,704.55
2014-06-27,2064.94478,4,6127477.29021,0.01354,2799.0,5,297.69721
2014-06-28,749.265993,3,6750813.97725,0.014917,1800.0,4,355.0246
2014-06-29,5163.45885,4,6822404.87445,0.015075,1011.0,5,410.055075
2014-06-30,154.245423,2,6979801.46383,0.015423,533.0,3,77.1227115
2014-07-01,1070.107056,4,7396562.04915,0.016344,3685.0,5,314.90802
2014-07-02,6401.61718,5,7463538.88763,0.016492,3866.0,8,1283.044616
2014-07-03,233.269165,3,7573336.34975,0.016735,5195.0,4,26.826205
2014-07-04,3781.9215,5,8032720.79409,0.01775,27702.0,6,63.19
2014-07-05,8873.13102,9,8589346.99482,0.01898,7199.0,7,892.06
2014-07-06,22537.016318,9,7955571.90857,0.017579,21922.0,10,502.021082
2014-07-07,26452.064784,7,9407659.23211,0.020788,9112.0,8,1234.8072
2014-07-08,7303.430448,16,8944246.40128,0.019764,16619.0,12,254.846898
